Pressure (MPa),Burn rate (mm/s)
0.0, 0.0
0.101,2.556790241
0.1035,2.59614398
0.2505,4.509524252
0.3975,6.017296958
0.5445,7.324422971
0.6915,8.503813275
0.807,9.374044853
0.954,8.893907176
1.101,8.502313535
1.248,8.174027022
1.395,7.892988604
1.503,7.710209524
1.65,7.801213609
1.797,7.792563249
1.944,7.78460193
2.091,7.777228492
2.238,7.770362501
2.385,7.763938954
2.532,7.757904566
2.679,7.75221512
2.826,7.746833518
2.973,7.74172833
3.12,7.736872701
3.267,7.732243501
3.414,7.727820667
3.561,7.723586687
3.792,7.717278489
3.939,8.139304753
4.086,8.300548639
4.233,8.459119079
4.38,8.61515101
4.527,8.768768293
4.674,8.92008494
4.821,9.069206191
4.968,9.216229425
5.115,9.361244969
5.262,9.504336791
5.409,9.645583111
5.556,9.785056943
5.703,9.922826567
5.85,10.05895595
5.997,10.19350512
6.144,10.32653049
6.291,10.45808519
6.438,10.58821926
6.585,10.71697999
6.732,10.84441204
6.879,10.97055771
7.033,10.93248873
7.18,10.94692661
7.327,10.96109036
7.474,10.97499054
7.621,10.98863708
7.768,11.00203938
7.915,11.01520631
8.062,11.02814626
8.209,11.04086718
8.356,11.0533766
8.503,11.06568166
8.65,11.07778915
8.797,11.08970552
8.944,11.10143691
9.091,11.11298916
9.238,11.12436784
9.385,11.13557825
9.532,11.14662546
9.679,11.15751431
9.826,11.16824942
9.973,11.17883521
10.12,11.18927593
10.267,11.19957562
10.414,11.20973816
10.561,11.21976728
10.708,11.22966655
10.855,11.2394394
11.002,11.24908913
