"Time(s)", "Thrust (N)"
0.0,0.0
0.033,0.6918856072462063
0.067,1.381350547898009
0.101,2.9111874820459036
0.133,5.036873382864869
0.167,7.958071184208819
0.2,15.443396446864725
0.234,40.800980146930286
0.268,83.59852343397253
0.3,125.6519842353988
0.334,159.883045607646
0.37,196.1721286444579
0.405,234.6635811398241
0.432,264.09942698433144
0.468,298.18036375744896
0.501,334.8620701028728
0.535,367.3839154154117
0.569,404.36588905424526
0.601,438.326296444791
0.635,465.84755950333886
0.668,495.7857306930798
0.702,531.7449542947621
0.736,558.4933039693772
0.768,593.4060765640598
0.802,623.7228850536437
0.836,654.5385825083257
0.869,681.9796845012686
0.902,708.4783939991945
0.935,734.2244695731048
0.969,778.8142807667632
1.003,797.6132965844159
1.036,827.3250550070547
1.069,855.1249136757322
1.103,885.2477162919862
1.136,904.2926480252978
1.17,920.8877351431506
1.203,936.0021221283157
1.236,951.630821324413
1.27,966.0292726786932
1.303,986.2070318043073
1.337,1006.3363101015965
1.37,1028.9757312248232
1.403,1046.7308199498516
1.437,1063.9671747485602
1.469,1082.475659289548
1.504,1095.188321559525
1.537,1108.0512576535477
1.571,1118.4542899830471
1.604,1134.5541667964878
1.638,1148.8353829712332
1.671,1160.5531295115836
1.704,1172.2041293637499
1.738,1178.9350571505513
1.771,1190.2711072342458
1.809,1202.238166242171
1.838,1220.120897119303
1.871,1221.8570720528223
1.905,1230.952532147764
1.939,1239.6605272996985
1.974,1239.567636987361
2.005,1246.983999124542
2.038,1249.0175386995295
2.074,1249.065296650521
2.106,1250.671254995835
2.138,1243.0463395961458
2.172,1240.9659010825442
2.206,1236.9745239234267
2.239,1232.0139295222878
2.273,1213.4677229158542
2.305,1231.2258419689854
2.339,1204.3780942044114
2.373,1199.835727531614
2.406,1150.768165682109
2.439,1121.2594645876259
2.471,1106.8176962946966
2.506,1088.7714778838997
2.54,1070.3432311933946
2.574,1035.9172555544808
2.606,997.0986278592787
2.64,965.2016405814571
2.673,947.0818839469196
2.71,922.647204799568
2.741,900.9247042480282
2.773,879.8614035304822
2.807,847.0600374330218
2.84,818.4853191244625
2.876,788.0346962554031
2.907,768.0066161531413
2.94,751.7912708521937
2.974,735.2649266195862
3.014,715.6542039610626
3.038,699.1640561864383
3.074,682.4487115736645
3.108,673.713286682963
3.141,656.6511370817342
3.175,637.6967079002496
3.207,623.8821666803847
3.241,611.6591762032788
3.275,601.1228730930133
3.308,585.7904551019052
3.342,571.106021945081
3.375,558.6455351313791
3.408,555.4928461812436
3.442,540.0794993069467
3.476,526.5419451901761
3.509,512.0285990829514
3.549,499.64267528867686
3.586,591.8045809879247
3.62,512.0824696009454
3.654,451.6199723620716
3.687,397.9399735338034
3.72,371.97874510116617
3.753,346.9803391181125
3.787,324.6854250643373
3.821,306.9747138364128
3.854,287.9688624469994
3.887,276.6487532450009
3.921,263.2047614424304
3.954,247.62711004366525
3.988,231.8543917883264
4.022,213.06667641594856
4.054,191.6351140261706
4.088,175.5761578941761
4.121,155.5632881051278
4.155,133.40302060857397
4.188,111.81809206506023
4.221,92.00735689251991
4.255,71.73899247751575
4.289,53.365050540405264
4.322,37.878545845840556
4.355,25.478147599986677
4.388,14.354472788062267
4.422,7.375676730826605
4.456,3.9354139903825427
4.488,3.189932719778888
