"Time(s)", "Thrust (N)"
0,281.88
3.30E-05,281.88
6.60E-05,281.16
1.00E-04,271.92
0.000134,279.96
0.000167,279.96
0.0002,353.16
0.000234,370.68
0.000267,374.88
0.000301,374.88
0.000334,369.84
0.000367,369.84
0.000401,399.48
0.000434,399.48
0.000468,328.92
0.000501,250.8
0.000534,250.8
0.000568,280.68
0.000601,322.08
0.000634,347.88
0.000668,442.32
0.000701,510.36
0.000737,530.88
0.000769,568.56
0.000801,653.28
0.000835,715.08
0.000868,758.76
0.000902,828.24
0.000936,881.88
0.000968,904.92
0.001,924.96
0.001036,932.76
0.001069,938.28
0.001102,954.24
0.001136,959.04
0.001169,959.04
0.001203,966
0.001237,966.72
0.001269,966.72
0.001303,942.84
0.001337,940.08
0.00137,940.08
0.001403,937.56
0.001436,928.56
0.00147,928.56
0.001504,928.56
0.001537,921.96
0.00157,919.68
0.001603,914.16
0.001637,914.16
0.001671,912.12
0.001704,913.08
0.00174,903.12
0.001771,913.08
0.001804,917.52
0.001842,917.52
0.001869,909.36
0.001904,899.64
0.001938,898.08
0.001971,893.28
0.002005,889.8
0.002038,888.96
0.002071,878.04
0.002105,878.04
0.002142,891.48
0.002169,891.48
0.002205,900.72
0.002239,902.64
0.002272,911.76
0.002306,914.04
0.002338,944.88
0.002372,956.76
0.002406,966.48
0.002439,966.48
0.002473,970.56
0.002506,971.28
0.002539,971.76
0.002573,971.76
0.002606,966.72
0.002639,952.92
0.002673,952.92
0.002706,946.68
0.002742,947.52
0.002774,943.8
0.002806,947.52
0.00284,950.16
0.002874,950.28
0.002907,960.36
0.002941,963.6
0.002973,984.72
0.003007,995.4
0.003041,995.76
0.003075,1003.56
0.003107,1003.56
0.003141,1004.4
0.003174,1014.6
0.003208,1018.2
0.003242,1029.6
0.003288,1030.68
0.003553,1041.96
0.003742,1041.96
0.003776,1043.04
0.003809,1050
0.003843,1047.6
0.003876,1047.6
0.003909,1040.52
0.003943,1037.16
0.003976,1033.56
0.00401,1033.56
0.004043,1024.56
0.004076,1023.12
0.00411,1013.04
0.004144,1013.04
0.004176,1010.88
0.00421,1016.64
0.004243,1010.76
0.004277,1010.4
0.004311,1003.44
0.004343,1003.44
0.004377,1005.6
0.004411,1005.6
0.004444,1008.84
0.004478,1008.84
0.004511,1008.84
0.004544,1012.92
0.004578,1018.56
0.004611,1027.44
0.004644,1049.52
0.004678,1071.6
0.004711,1105.68
0.004745,1109.64
0.004779,1108.56
0.004814,1108.56
0.004843,1108.56
0.004879,1110.6
0.004912,1122
0.004946,1122
0.004978,1120.92
0.005012,1120.92
0.005046,1135.8
0.005079,1141.92
0.005112,1150.56
0.005146,1150.56
0.005179,1150.68
0.005213,1147.68
0.005247,1147.68
0.005279,1141.08
0.005313,1137.6
0.005346,1132.2
0.00538,1132.2
0.005413,1145.4
0.005448,1147.08
0.00548,1149.36
0.005514,1153.8
0.005547,1151.52
0.00558,1155.48
0.005613,1154.76
0.005647,1156.08
0.005681,1156.08
0.005714,1158.96
0.005749,1159.56
0.005781,1158.96
0.005814,1155.48
0.005853,1155.24
0.005879,1154.16
0.005914,1154.16
0.005948,1159.08
0.00598,1166.76
0.006015,1168.44
0.006048,1168.44
0.006081,1162.2
0.006115,1160.4
0.006149,1159.68
0.006181,1156.44
0.006215,1156.44
0.006249,1156.08
0.006282,1153.08
0.006316,1151.28
0.006348,1150.56
0.006382,1148.28
0.006416,1148.28
0.006449,1146.24
0.006483,1152.6
0.006516,1150.32
0.006549,1150.32
0.006583,1148.28
0.006616,1148.28
0.006649,1150.32
0.006683,1154.4
0.006716,1154.4
0.006752,1149.24
0.006784,1140.24
0.006816,1130.76
0.00685,1127.4
0.006884,1124.52
0.006917,1122.48
0.006951,1120.2
0.006983,1119
0.007017,1109.88
0.007051,1106.76
0.007084,1092.36
0.007115,1087.32
0.007151,1087.32
0.007184,1092.36
0.007218,1092.36
0.007252,1085.4
0.007284,1085.4
0.007318,1085.4
0.007351,1087.44
0.007385,1079.04
0.007418,1079.04
0.007451,1079.04
0.007485,1081.8
0.007519,1095.12
0.007552,1097.52
0.007585,1097.52
0.007618,1097.52
0.007652,1104.12
0.007686,1133.88
0.007719,1142.16
0.007754,1157.28
0.007786,1167.48
0.007819,1170.24
0.007856,1177.44
0.007886,1177.44
0.007919,1177.44
0.007953,1168.08
0.007986,1165.8
0.00802,1145.16
0.008053,1122.6
0.008086,1122.6
0.00812,1139.64
0.008154,1148.64
0.008186,1148.64
0.00822,1148.64
0.008252,1152.24
0.008287,1156.8
0.008321,1152.24
0.008353,1140.12
0.008387,1140.12
0.008421,1139.28
0.008454,1143.12
0.008488,1143.12
0.008521,1143.12
0.008554,1145.16
0.008588,1145.16
0.008621,1156.44
0.008654,1158.6
0.008688,1158.6
0.008721,1135.44
0.008757,1131.12
0.008789,1131.12
0.008821,1150.08
0.008855,1197.84
0.008889,1203.24
0.008922,1203.24
0.008955,1203.24
0.008989,1208.28
0.009022,1209.96
0.009056,1212.6
0.009089,1221.96
0.009122,1221.96
0.009156,1207.44
0.009189,1192.8
0.009223,1186.92
0.009257,1186.56
0.009289,1186.56
0.009323,1186.32
0.00936,1182.12
0.009388,1167
0.009423,1142.64
0.009456,1142.64
0.00949,1175.88
0.009524,1200
0.009557,1200
0.00959,1191.96
0.009623,1169.76
0.009657,1169.76
0.009691,1188.84
0.009723,1188.84
0.009759,1188.84
0.009791,1187.64
0.009824,1188.12
0.009864,1188.12
0.009903,1188.12
0.009935,1189.08
0.009969,1189.08
0.010002,1189.08
0.010036,1184.52
0.01007,1168.2
0.010102,1161.48
0.010136,1161.48
0.01017,1161.48
0.010203,1150.92
0.010237,1147.44
0.010269,1142.16
0.010303,1128
0.010337,1121.52
0.01037,1116.84
0.010403,1116.84
0.010437,1120.08
0.01047,1120.08
0.010507,1122.96
0.010536,1155.12
0.01057,1155.72
0.010604,1155.72
0.010637,1134.84
0.010676,1113
0.010702,1106.04
0.010737,1106.04
0.010771,1147.44
0.010805,1152.84
0.010838,1153.68
0.010871,1157.4
0.010904,1157.4
0.010938,1152.72
0.010972,1152.72
0.011005,1156.68
0.011038,1163.52
0.011072,1167.48
0.011105,1167.48
0.011139,1167.48
0.011172,1178.64
0.011205,1180.08
0.011239,1180.08
0.011272,1179.36
0.011306,1164.48
0.011339,1164.48
0.011372,1141.92
0.011406,1134.96
0.01144,1128.96
0.011472,1115.88
0.011506,1111.92
0.011539,1112.88
0.011573,1112.88
0.011607,1118.28
0.011642,1122.84
0.01168,1122.84
0.011718,1122.84
0.011751,1122.96
0.011785,1139.04
0.011818,1141.56
0.011851,1146.96
0.011885,1146.96
0.011918,1125.48
0.011952,1114.56
0.011986,1113.72
0.012018,1106.64
0.012052,1102.56
0.012086,1102.56
0.012119,1102.56
0.012152,1100.16
0.012185,1088.76
0.012219,1088.76
0.012253,1092.96
0.012286,1096.8
0.012319,1118.04
0.012353,1123.92
0.012386,1123.92
0.01242,1109.28
0.012452,1109.28
0.012486,1118.28
0.01252,1119.48
0.012553,1119.48
0.01259,1119.48
0.01262,1124.28
0.012653,1134.48
0.012687,1134.48
0.012721,1128.12
0.012754,1122.12
0.012787,1106.16
0.012819,1106.16
0.012854,1107.36
0.012888,1113.36
0.01292,1113.36
0.012954,1117.44
0.012989,1116.36
0.013021,1130.64
0.013055,1140
0.013088,1140
0.013121,1122.6
0.013155,1122.6
0.013188,1134.84
0.013221,1144.44
0.013255,1154.28
0.013288,1155.36
0.013322,1156.68
0.013356,1156.68
0.013388,1156.2
0.013422,1152
0.013455,1151.52
0.013489,1126.68
0.013523,1111.56
0.013555,1111.56
0.013589,1126.2
0.013623,1128.36
0.013656,1128.36
0.013689,1124.4
0.013723,1113.48
0.013756,1111.68
0.01379,1109.52
0.013823,1109.52
0.013856,1104.84
0.01389,1104.84
0.013923,1104.84
0.013955,1103.64
0.013991,1110.84
0.014023,1110.48
0.014057,1110.48
0.014091,1104.12
0.014124,1098.12
0.014157,1090.32
0.01419,1090.32
0.014224,1092.36
0.014258,1092.36
0.014291,1089.96
0.014324,1080.84
0.014358,1073.28
0.014391,1056.36
0.014425,1056.36
0.014457,1056.36
0.014491,1053.24
0.014525,1024.92
0.014558,990.72
0.014594,988.44
0.014625,990.72
0.014658,988.08
0.014692,975
0.014726,971.64
0.014759,970.44
0.014792,969.84
0.014825,969.84
0.014859,968.52
0.014893,966.36
0.014925,966.36
0.014959,965.4
0.014993,956.04
0.015026,956.04
0.01506,965.28
0.015091,966.36
0.015126,966.36
0.01516,965.76
0.015193,965.76
0.015226,965.76
0.01526,962.16
0.015293,942.6
0.015327,942.6
0.015361,945.96
